pair,postfix_position,different_agreement,PREF1,PREF2,ROOT1,ROOT2,LINK,SUFF1,SUFF2,SUFF3,END,POSTFIX,explained_mistakes
"36, 'города', 'горадам'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75
"38, 'колоннами', 'калюмнамі'",0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.1428571428571428
"313, 'города', 'гораду'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7777777777777778
"316, 'город', 'горад'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"317, 'боги', 'багі'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75
"318, 'мощной', 'моцнаю'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0
"320, 'господина', 'гаспадара'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.25
"322, 'конных', 'конных'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
"324, 'города', 'гораду'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.25
"326, 'города', 'гораду'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"329, 'города', 'гораду'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333
"331, 'новые', 'новыя'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.7692307692307693
"332, 'дыма', 'дыму'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5
"334, 'вскочил', 'ускочыў'",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,-0.027027027027027
"41, 'думать', 'думаць'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1951219512195122
"43, 'кровь', 'кроў'",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8397212543554007
"45, 'городским', 'гарадскіх'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.5528455284552846
"411, 'юных', 'юных'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.910569105691057
"414, 'войсковая', 'вайсковая'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6212338593974175
"415, 'своеволие', 'самаволю'",0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,-2.6219512195121952
"417, 'пребывание', 'побыт'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,-1.6829268292682926
"420, 'страдало', 'страждало'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6947014297729184
"422, 'загадка', 'загадка'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6829268292682926
"424, 'правду', 'праўду'",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340179717586649
"428, 'роскошном', 'раскошнага'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.3,0.0,-0.2073170731707316
"430, 'ощущать', 'адчуццё'",0.0,0.0,1.3,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-1.817073170731708
"431, 'пропасть', 'пропасць'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1498257839721253
"436, 'найти', 'знайсці'",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,-1.4146341463414631
"439, 'груди', 'грудзях'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1951219512195122
"52, 'вырвать', 'вырваць'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0208333333333333
"53, 'жизни', 'жыцці'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0208333333333333
"55, 'памяти', 'памяци'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7135416666666669
"56, 'жизнь', 'жыццё'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.0,0.0,0.0,1.0,0.0,-0.0208333333333333
"57, 'слово', 'слова'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
"511, 'подумал', 'падумаў'",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.265625
"512, 'кровью', 'крывёй'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-0.0770833333333332
"513, 'жизнью', 'жыццём'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,2.0,0.0,0.0,2.0,0.0,-0.1423611111111112
"515, 'стены', 'сцены'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6319444444444446
"516, 'жить', 'жыць'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3472222222222222
"517, 'умереть', 'памерці'",0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,-0.3055555555555556
"520, 'домашним', 'дамавымі'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.0,2.0,0.0,1.6,0.0,0.1956845238095237
"521, 'жить', 'жыць'",0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7552083333333334
"522, 'ночи', 'ночы'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-0.46875
"525, 'дороге', 'дарозе'",0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2539682539682539
"530, 'правду', 'праўды'",0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7120098039215685
"531, 'надежда', 'надзея'",0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5104166666666666
"535, 'вчера', 'учора'",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0208333333333333
"61, 'вечер', 'вечар'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7837837837837839
"62, 'почернела', 'пачарнела'",0.0,0.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"63, 'весла', 'вясла'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.054054054054054
"64, 'гражданки', 'гараджаначкi'",0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,2.0,0.0,0.2,0.0,-0.7837837837837839
"66, 'публика', 'публiка'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7027027027027027
"67, 'квадрата', 'квадрата'",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5540540540540541
"69, 'золотая', 'залатая'",0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3783783783783785
"611, 'рассказ', 'расказ'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4054054054054054
"612, 'вечер', 'вечар'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7837837837837838
"613, 'рассказывал', 'расказваў'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0486486486486485
"614, 'рассказывал', 'расказваў'",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8301158301158301
"618, 'отозвался', 'адазваўся'",0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.3783783783783785
"619, 'написано', 'напiсана'",0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,-0.1891891891891892
"621, 'осекся', 'асекся'",0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7837837837837839
"622, 'идя', 'iшоў'",0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.3590733590733592
